id,entity_id,CategoryName,sku,name,description,shortdesc,price,link,image,Brand,Rating,CaffeineType,Count,Flavored,Seasonal,Instock,Facebook,IsKCup
916,2597,"",107259,"","","",9.99,http://www.coffeeforless.com/twinings-earl-grey-tea-tassimo-t-discs-16ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods2/twinings-earl-grey-16-tassimo-t-discs.jpg,"",5,Caffeinated,16,Yes,No,Yes,1,""
917,2598,"",103448,"","","",13.49,http://www.coffeeforless.com/twinings-chai-tea-latte-tassimo-t-discs-16ct.html,http://mcdn.coffeeforless.com/media/catalog/product//t/w/twinings-chai-tea-latte-t-disks-16ct.jpg,"",4,Caffeinated,16,Yes,No,Yes,1,""
918,2600,"",6742,"","","",15.99,http://www.coffeeforless.com/green-mountain-coffee-fair-trade-gingerbread-k-cups-24ct-seasonal.html,http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-fair-trade-gingerbread-k-cups-24ct-914.jpg,"",5,Caffeinated,24,Yes,Yes,Yes,"",1
919,2601,"",6742,"","","",59.96,http://www.coffeeforless.com/green-mountain-coffee-fair-trade-gingerbread-k-cups-96ct-seasonal.html,http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-fair-trade-gingerbread-k-cups-96ct-914.jpg,"",5,Caffeinated,96,Yes,Yes,Yes,"",1
920,2606,"",102686,"","","",9.99,http://www.coffeeforless.com/suchard-hot-chocolate-tassimo-t-discs-8ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/suchard-hot-chocolate-tassimo-t-Discs-8ct.jpg,"",3,Caffeine Free,8,Yes,No,Yes,1,""
921,2607,"",0,"","","",21,http://www.coffeeforless.com/folgers-gourmet-selections-lively-colombian-decaffeinated-ground-coffee-24-1-75oz-packages.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/folgers-gourmet-selections-lively-colombian-decaffeinated-ground-coffee-24-1-75oz-packages.jpg,"",4,Decaffeinated,24,No,No,No,1,""
922,2613,"",0,"","","",59.96,http://www.coffeeforless.com/timothys-decaf-english-breakfast-tea-k-cups-96ct.html,http://mcdn.coffeeforless.com/media/catalog/product//t/i/timothys-world-coffee-decaf-english-breakfast-decaf-tea-k-cups_1.jpg,"",5,Decaffeinated,96,No,No,No,"",1
923,2614,"",0,"","","",15.99,http://www.coffeeforless.com/timothys-decaf-english-breakfast-tea-k-cups-24ct.html,http://mcdn.coffeeforless.com/media/catalog/product//t/i/timothys-world-coffee-decaf-english-breakfast-decaf-tea-k-cups.jpg,"",5,Decaffeinated,24,No,No,No,"",1
924,2627,"",6720,"","","",15.99,http://www.coffeeforless.com/green-mountain-coffee-fair-trade-island-coconut-k-cups-24ct.html,http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-fair-trade-island-coconut-k-cups-24ct-914.jpg,"",5,Caffeinated,24,Yes,Yes,No,"",1
925,2628,"",6720,"","","",59.96,http://www.coffeeforless.com/green-mountain-coffee-fair-trade-island-coconut-k-cups-96ct.html,http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-fair-trade-island-coconut-k-cups-96ct-914.jpg,"",5,Caffeinated,96,Yes,Yes,No,"",1
